weight,count
1,1223803
2,416774
3,200997
4,117429
5,76773
6,54594
7,40414
8,31769
9,25512
10,20852
11,17279
12,14838
13,12445
14,10793
15,9651
16,8275
17,7170
18,6425
19,5658
20,5159
21,4555
22,4163
23,3729
24,3433
25,3107
26,2870
27,2737
28,2476
29,2261
30,2049
31,1996
32,1872
33,1635
34,1551
35,1465
36,1347
37,1225
38,1288
39,1071
40,1052
41,937
42,940
43,869
44,829
45,732
46,684
47,675
48,679
49,609
50,615
51,532
52,534
53,546
54,485
55,507
56,500
57,455
58,444
59,410
60,415
61,410
62,360
63,390
64,346
65,352
66,301
67,306
68,292
69,308
70,243
71,236
72,250
73,230
74,221
75,207
76,182
77,190
78,159
79,178
80,161
81,124
82,124
83,115
84,122
85,132
86,89
87,112
88,109
89,90
90,89
91,77
92,86
93,77
94,70
95,76
96,61
97,68
98,61
99,60
100,74
101,56
102,71
103,64
104,48
105,44
106,56
107,62
108,50
109,42
110,45
111,56
112,51
113,47
114,48
115,54
116,39
117,39
118,38
119,38
120,35
121,28
122,39
123,31
124,42
125,33
126,27
127,36
128,36
129,30
130,27
131,26
132,27
133,31
134,26
135,28
136,27
137,24
138,25
139,21
140,25
141,25
142,17
143,21
144,17
145,27
146,25
147,20
148,21
149,24
150,18
151,20
152,22
153,13
154,14
155,13
156,18
157,12
158,14
159,20
160,18
161,17
162,22
163,20
164,10
165,17
166,15
167,12
168,15
169,22
170,12
171,8
172,15
173,16
174,13
175,20
176,13
177,12
178,9
179,21
180,14
181,11
182,6
183,8
184,11
185,11
186,11
187,10
188,7
189,14
190,7
191,13
192,10
193,7
194,11
195,8
196,8
197,13
198,6
199,10
200,7
201,5
202,10
203,10
204,7
205,6
206,8
207,7
208,6
209,4
210,10
211,10
212,5
213,5
214,5
215,11
216,5
217,11
218,8
219,4
220,10
221,7
222,8
223,7
224,7
225,5
226,2
227,7
228,4
229,10
230,4
231,7
232,6
233,4
234,6
235,1
236,6
237,3
238,4
239,4
240,10
241,3
242,2
243,5
244,3
245,5
246,4
247,3
248,2
249,2
250,1
251,4
252,4
253,3
254,2
255,3
256,3
257,1
258,2
259,2
260,2
261,3
262,2
263,2
264,4
265,1
266,2
267,3
268,1
269,3
271,5
272,1
273,3
274,2
275,2
276,1
279,2
280,2
281,1
282,2
283,2
284,4
285,2
286,3
287,3
288,1
289,2
290,5
291,1
293,1
294,1
295,3
296,1
297,4
298,1
299,1
300,1
301,2
302,1
303,2
304,1
306,1
307,1
308,2
311,1
313,1
314,3
315,1
317,1
318,2
319,1
322,1
323,2
326,3
328,4
329,1
330,1
331,1
332,1
333,1
338,1
340,2
341,1
342,2
343,1
345,3
348,2
351,1
352,3
354,1
356,1
358,2
360,1
362,1
364,1
365,1
366,1
367,1
369,1
370,1
373,1
378,1
380,1
382,1
385,1
389,1
390,1
391,1
395,2
396,2
402,2
410,2
415,1
419,1
424,1
430,2
438,1
443,1
449,1
451,1
453,1
459,1
467,1
479,1
489,1
493,1
497,2
499,1
500,1
505,1
531,1
534,1
538,1
549,1
575,1
600,1
615,1
649,1
651,1
694,1
707,1
715,1
766,1
783,1
788,1
816,1
835,1
877,1
933,1
958,1
961,1
1009,1
1740,1
4299,1
